Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?"
,Female,31,25-34,Democrat,Strongly disapprove,Graduate degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,Yes,10,,About Right,TRUE,Dumb and happy
,Female,24,18-24,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,20,,Yes,3,,Too Low,FALSE,Smart and Sad
,Male,26,25-34,Independent,Somewhat disapprove,Graduate degree,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,5,,No,2,,Too Low,TRUE,Dumb and happy
,Male,35,35-44,Republican,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,10,,No,3,,About Right,FALSE,Smart and Sad
,Female,18,18-24,Republican,Somewhat Approve,Some college,,White,,In a relationship,,,Likely,Real but not Caused by People,4,,Somewhat Disagree,Somewhat Agree,9,,No,57,,Too High,FALSE,Dumb and happy
,Female,77,65+,Independent,DK/REF,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,250,,Yes,2,,Too Low,FALSE,Dumb and happy
,Male,60,55-64,Democrat,Strongly disapprove,College degree,,Latino,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,6,,No,,Yes,Too Low,FALSE,DK/REF
,Male,58,55-64,Republican,Strongly Approve,Some college,,White,,Divorced,,,DK/REF,DK/REF,2,,Somewhat Agree,DK/REF,30,,No,,Yes,About Right,TRUE,Dumb and happy
,Male,41,35-44,Independent,Strongly disapprove,Some college,,Asian,,Divorced,,,Likely,Real but not Caused by People,3,,Strongly Agree,Strongly Agree,0,,Yes,,Yes,About Right,TRUE,Dumb and happy
,Male,71,65+,Independent,Strongly disapprove,Graduate degree,,Latino,,Married,,,Unlikely,Not Real At All,3,,Strongly Disagree,Strongly Disagree,0,,Yes,0,,About Right,TRUE,DK/REF
,Female,61,55-64,Democrat,Strongly disapprove,Some college,,Black,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,0,,Yes,65,,Too High,TRUE,Smart and Sad
,Female,34,25-34,Democrat,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Strongly Agree,10,,No,15,,Too Low,TRUE,Smart and Sad
,Male,61,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,2,,Strongly Disagree,Somewhat Disagree,3,,No,40,,Too High,TRUE,Smart and Sad
,Male,24,18-24,DK/REF,DK/REF,Graduate degree,,Asian,,Single,,,Likely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,12,,No,,Yes,Too Low,FALSE,Smart and Sad
,Male,70,65+,Independent,Somewhat disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,2,,Yes,,Yes,DK/REF,TRUE,Dumb and happy
,Female,21,18-24,Democrat,Strongly disapprove,Some college,,Asian,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,25,,No,4,,Too Low,FALSE,Smart and Sad
,Female,67,65+,DK/REF,Strongly disapprove,Some college,,White,,Married,,,Likely,Real and Caused by People,5,,Strongly Agree,Somewhat Agree,0,,No,,Yes,About Right,FALSE,Dumb and happy
,Female,70,65+,Independent,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Disagree,Strongly Agree,5,,No,,Yes,About Right,TRUE,Smart and Sad
,Male,80,65+,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,30,,No,,Yes,Too Low,FALSE,Smart and Sad
,Male,41,35-44,Independent,Strongly disapprove,High school,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Disagree,5,,No,20,,Too Low,FALSE,Smart and Sad
,Male,45,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,10,,Yes,5,,Too Low,FALSE,Smart and Sad
,Female,54,45-54,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,No,15,,Too Low,TRUE,Smart and Sad
,Male,36,35-44,Independent,Strongly disapprove,Some college,,White,,Married,,,DK/REF,Real and Caused by People,1,,Strongly Agree,Strongly Agree,10,,No,1,,Too Low,FALSE,Smart and Sad
,Female,38,35-44,Independent,Strongly disapprove,Some college,,Black,,Single,,,Likely,Not Real At All,1,,Somewhat Disagree,Somewhat Disagree,5,,Yes,60,,Too Low,TRUE,Dumb and happy
,Male,42,35-44,Independent,Somewhat Approve,College degree,,DK/REF,,DK/REF,,,DK/REF,DK/REF,,Yes,DK/REF,DK/REF,0,,No,1,,DK/REF,DK/REF,Smart and Sad
,Male,23,18-24,Democrat,Neither approve nor disapprove,Some college,,DK/REF,,Single,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,0,,Yes,,Yes,Too Low,FALSE,Smart and Sad
,Male,63,55-64,Republican,DK/REF,College degree,,White,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,Yes,,Yes,Too Low,TRUE,Dumb and happy
,Male,32,25-34,Independent,DK/REF,College degree,,White,,Single,,,Likely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,10,,No,2,,Too High,FALSE,Smart and Sad
,Female,62,55-64,Independent,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,3,,Somewhat Agree,Strongly Agree,10,,No,1,,Too Low,TRUE,Dumb and happy
,Female,47,45-54,Independent,DK/REF,Some college,,Latino,,Divorced,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,200,,Yes,,Yes,Too Low,FALSE,Smart and Sad
,Female,34,25-34,Independent,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,18,,No,,Yes,Too Low,TRUE,Smart and Sad
,Female,23,18-24,Independent,Somewhat Approve,Some college,,Latino,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Disagree,Somewhat Disagree,2,,Yes,5,,About Right,FALSE,Smart and Sad
,Male,27,25-34,Independent,DK/REF,Some college,,Black,,In a relationship,,,Unlikely,Real but not Caused by People,4,,DK/REF,DK/REF,20,,Yes,25,,About Right,TRUE,Dumb and happy
,Female,48,45-54,Democrat,Strongly disapprove,Some college,,Latino,,Divorced,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,1,,Yes,60,,About Right,TRUE,Dumb and happy
,Female,36,35-44,Democrat,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,3,,Strongly Agree,Strongly Agree,2,,No,30,,About Right,FALSE,Smart and Sad
,Male,47,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Neither Agree nor Disagree,Somewhat Agree,20,,Yes,10,,About Right,DK/REF,Dumb and happy
,Male,48,45-54,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Strongly Agree,Strongly Agree,4,,No,2,,Too Low,FALSE,Dumb and happy
,Male,54,45-54,Independent,Strongly disapprove,Graduate degree,,Black,,In a relationship,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,4,,No,2,,Too Low,TRUE,Smart and Sad
,Female,45,45-54,Democrat,Strongly disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,60,,Yes,15,,About Right,FALSE,Dumb and happy
,Female,50,45-54,Democrat,Strongly disapprove,College degree,,Latino,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,No,1,,Too Low,FALSE,Smart and Sad
,Female,35,35-44,DK/REF,Neither approve nor disapprove,College degree,,White,,Single,,,Unlikely,DK/REF,2,,Somewhat Agree,Strongly Agree,3,,Yes,10,,About Right,FALSE,Smart and Sad
,Male,48,45-54,Independent,Somewhat disapprove,High school,,White,,Separated,,,Likely,Real and Caused by People,2,,Somewhat Disagree,Somewhat Agree,1,,No,30,,Too High,FALSE,Dumb and happy
,Male,50,45-54,Independent,DK/REF,High school,,White,,Single,,Yes,Unlikely,Real and Caused by People,,Yes,Strongly Disagree,DK/REF,,Yes,Yes,90,,Too High,DK/REF,DK/REF
,Male,38,35-44,Independent,DK/REF,Some college,,Asian,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Disagree,10,,No,,Yes,Too Low,FALSE,Dumb and happy
,Male,36,35-44,Independent,Strongly disapprove,Graduate degree,,Latino,,Single,,,Likely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,7,,No,30,,About Right,FALSE,Dumb and happy
,Female,67,65+,Democrat,Strongly disapprove,Graduate degree,,White,,Widowed,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,70,,Yes,5,,Too Low,FALSE,Smart and Sad
176000,Male,38,35-44,DK/REF,Neither approve nor disapprove,Graduate degree,,White,,Single,,,Unlikely,DK/REF,3,,Strongly Agree,Strongly Agree,3,,No,3,,Too Low,FALSE,Smart and Sad
92000,Male,58,55-64,DK/REF,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Not Real At All,0,,DK/REF,Strongly Agree,20,,No,,Yes,Too High,FALSE,Dumb and happy
117000,Male,42,35-44,Republican,Strongly Approve,Some college,,White,,In a relationship,,,Unlikely,Real but not Caused by People,,Yes,Strongly Disagree,Somewhat Agree,4,,No,5,,DK/REF,TRUE,Dumb and happy
137000,Male,51,45-54,Independent,Somewhat Approve,College degree,,White,,Widowed,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Neither Agree nor Disagree,2,,No,10,,Too Low,FALSE,Dumb and happy
39000,Female,48,45-54,Independent,Neither approve nor disapprove,Some college,,White,,Married,,,Unlikely,Not Real At All,4,,Somewhat Agree,Strongly Agree,40,,Yes,15,,Too Low,TRUE,Dumb and happy
80000,Female,37,35-44,Independent,Strongly disapprove,High school,,White,,In a relationship,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,100,,No,,Yes,DK/REF,TRUE,Dumb and happy
60000,Male,50,45-54,Democrat,Strongly disapprove,High school,,Black,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,5,,No,,Yes,About Right,TRUE,Smart and Sad
114000,Female,45,45-54,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,30,,Yes,10,,Too Low,FALSE,Dumb and happy
89000,Male,52,45-54,Republican,DK/REF,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Agree,Strongly Agree,50,,No,15,,About Right,FALSE,Dumb and happy
11000,Female,41,35-44,DK/REF,DK/REF,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,5,,Somewhat Agree,Strongly Agree,200,,No,,Yes,DK/REF,TRUE,Dumb and happy
16000,Female,65,65+,Democrat,Strongly disapprove,Some college,,Latino,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,2,,No,40,,About Right,TRUE,Smart and Sad
125000,Male,53,45-54,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,0,,No,10,,Too Low,FALSE,Dumb and happy
92000,Male,43,35-44,Independent,DK/REF,High school,,White,,Widowed,,,DK/REF,Real and Caused by People,4,,Somewhat Disagree,Strongly Disagree,0,,No,5,,DK/REF,TRUE,Dumb and happy
161000,Male,28,25-34,Independent,Somewhat disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,1,,No,5,,About Right,FALSE,Dumb and happy
74000,Other,22,18-24,Independent,Strongly disapprove,College degree,,Latino,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,6,,No,2,,Too Low,FALSE,Dumb and happy
148000,Female,58,55-64,Independent,Neither approve nor disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,40,,No,25,,Too Low,TRUE,Dumb and happy
85000,Female,58,55-64,Republican,Somewhat Approve,High school,,White,,Widowed,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,0,,Yes,,Yes,Too Low,TRUE,Dumb and happy
44000,Male,54,45-54,Democrat,Strongly Approve,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,0,,No,5,,Too Low,FALSE,Smart and Sad
165000,Male,65,65+,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,5,,No,2,,About Right,FALSE,Dumb and happy
175000,Other,92,65+,DK/REF,DK/REF,Graduate degree,,DK/REF,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Strongly Agree,100,,Yes,1,,Too Low,TRUE,DK/REF
14000,Male,65,65+,Independent,Strongly Approve,Graduate degree,,White,,In a relationship,,Yes,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,6,,No,0,,Too High,TRUE,Dumb and happy
179000,Male,51,45-54,DK/REF,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,1,,DK/REF,DK/REF,5,,No,,Yes,DK/REF,FALSE,DK/REF
62000,Other,56,55-64,Democrat,Strongly Approve,High school,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Disagree,Strongly Disagree,16,,Yes,16,,Too High,TRUE,Dumb and happy
179000,Female,49,45-54,Independent,Somewhat disapprove,College degree,,Latino,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,15,,Yes,5,,Too Low,FALSE,Dumb and happy
39000,Female,49,45-54,Republican,Somewhat Approve,High school,,White,,Divorced,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,3,,Yes,10,,Too Low,TRUE,Dumb and happy
85000,Female,63,55-64,Independent,Strongly disapprove,High school,,DK/REF,,Single,,,Unlikely,DK/REF,0,,Strongly Agree,Strongly Agree,0,,Yes,1,,DK/REF,DK/REF,Smart and Sad
45000,Female,58,55-64,Independent,Somewhat Approve,High school,,White,,Single,,,Likely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,3,,No,,Yes,About Right,TRUE,Smart and Sad
37000,Female,59,55-64,DK/REF,DK/REF,Graduate degree,,Black,,Divorced,,,Unlikely,Real and Caused by People,1,,DK/REF,Somewhat Agree,1,,Yes,20,,Too Low,DK/REF,Smart and Sad
148000,Female,60,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,20,,No,25,,About Right,FALSE,Dumb and happy
80000,Female,55,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,3,,Somewhat Agree,Strongly Agree,20,,Yes,10,,About Right,TRUE,Dumb and happy
40000,Female,61,55-64,Democrat,Strongly disapprove,Some college,,Black,,Single,,,Likely,Real but not Caused by People,2,,Somewhat Disagree,Strongly Agree,100,,No,10,,About Right,TRUE,Smart and Sad
181000,Male,53,45-54,Republican,Somewhat disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,2,,Yes,10,,About Right,FALSE,Dumb and happy
65000,Female,55,55-64,Independent,Strongly Approve,College degree,,White,,Married,,,DK/REF,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,10,,No,,Yes,DK/REF,DK/REF,Dumb and happy
76000,Female,57,55-64,Democrat,Somewhat disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Disagree,Somewhat Agree,8,,Yes,10,,Too Low,TRUE,Dumb and happy
90000,DK/REF,56,55-64,Democrat,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Disagree,Strongly Agree,4,,No,10,,About Right,TRUE,Dumb and happy
74000,Male,49,45-54,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,2,,Somewhat Disagree,Strongly Agree,12,,No,3,,About Right,TRUE,Smart and Sad
162000,Male,50,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Likely,Real but not Caused by People,1,,Somewhat Agree,Strongly Disagree,20,,No,30,,Too High,FALSE,Dumb and happy
45000,Male,83,65+,DK/REF,DK/REF,High school,,White,,Widowed,,,Unlikely,Not Real At All,0,,DK/REF,Somewhat Agree,12,,Yes,,Yes,Too High,DK/REF,DK/REF
,Male,45,45-54,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,25,,No,6,,Too Low,TRUE,Dumb and happy
,Female,57,55-64,Democrat,Strongly disapprove,Some college,,White,,Single,,,Likely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,20,,Yes,,Yes,Too Low,FALSE,Smart and Sad
,Male,80,65+,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,0,,No,,Yes,DK/REF,DK/REF,Dumb and happy
,Male,70,65+,Independent,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,30,,Yes,,Yes,DK/REF,DK/REF,DK/REF
,Female,50,45-54,DK/REF,DK/REF,High school,,Latino,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,1,,No,,Yes,DK/REF,FALSE,Dumb and happy
,Male,42,35-44,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,12,,No,1,,Too Low,TRUE,Smart and Sad
,Male,54,45-54,Independent,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Disagree,12,,Yes,1,,DK/REF,TRUE,Dumb and happy
,Male,72,65+,DK/REF,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Not Real At All,,Yes,Somewhat Agree,Strongly Agree,5,,No,,Yes,DK/REF,TRUE,Dumb and happy
,Female,49,45-54,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,12,,No,20,,About Right,FALSE,Dumb and happy
,Male,60,55-64,DK/REF,Strongly disapprove,Some college,,White,,Single,,,DK/REF,Real and Caused by People,3,,Strongly Agree,Somewhat Agree,6,,No,1,,Too Low,DK/REF,Dumb and happy
,Male,54,45-54,Democrat,Somewhat disapprove,High school,,White,,Single,,,Unlikely,DK/REF,,Yes,Somewhat Agree,DK/REF,2,,DK/REF,,Yes,DK/REF,FALSE,Dumb and happy
,Male,54,45-54,Republican,Strongly Approve,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,1,,No,5,,Too High,FALSE,DK/REF
,Female,49,45-54,DK/REF,Somewhat Approve,High school,,White,,Separated,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,Yes,,Yes,DK/REF,FALSE,Smart and Sad
,Male,27,25-34,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Somewhat Agree,2,,No,,Yes,Too Low,TRUE,Dumb and happy
,Male,30,25-34,DK/REF,Strongly Approve,High school,,White,,Married,,,Likely,Real but not Caused by People,2,,DK/REF,Strongly Agree,20,,No,,Yes,DK/REF,FALSE,Smart and Sad
,Male,25,25-34,Independent,DK/REF,Other,Certificate of Technical School,White,,In a relationship,,,Unlikely,Real but not Caused by People,2,,DK/REF,Strongly Agree,3,,No,,Yes,Too High,DK/REF,Smart and Sad
,Male,60,55-64,DK/REF,Strongly Approve,Some college,,DK/REF,,Married,,,Likely,Real but not Caused by People,3,,Somewhat Agree,Somewhat Disagree,4,,Yes,,Yes,About Right,FALSE,Dumb and happy
157000,Female,46,45-54,Republican,Strongly disapprove,College degree,,Asian,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Disagree,Somewhat Disagree,6,,Yes,30,,About Right,TRUE,Smart and Sad
161000,Male,35,35-44,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,4,,Somewhat Agree,Strongly Agree,30,,Yes,25,,Too High,TRUE,Smart and Sad
41000,Female,62,55-64,Republican,Strongly Approve,Graduate degree,,White,,Widowed,,,Likely,Not Real At All,0,,Strongly Disagree,Somewhat Disagree,20,,DK/REF,17,,About Right,FALSE,Dumb and happy
103000,Male,60,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Somewhat Agree,4,,No,5,,DK/REF,TRUE,DK/REF
91000,Male,65,65+,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,0,,No,5,,About Right,FALSE,Smart and Sad
188000,Male,47,45-54,DK/REF,DK/REF,College degree,,White,,Married,,,Unlikely,DK/REF,1,,Somewhat Agree,Strongly Agree,8,,No,,Yes,Too Low,FALSE,Dumb and happy
21000,Female,43,35-44,Independent,Strongly disapprove,High school,,White,,In a relationship,,,Likely,Not Real At All,4,,Somewhat Agree,Strongly Agree,4,,No,15,,About Right,TRUE,Dumb and happy
103000,Male,58,55-64,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,5,,No,100,,Too High,FALSE,Dumb and happy
27000,Male,59,55-64,Independent,Neither approve nor disapprove,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,16,,No,5,,DK/REF,TRUE,Smart and Sad
326000,Female,58,55-64,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,40,,Yes,0.5,,Too Low,FALSE,Smart and Sad
74000,Female,66,65+,Democrat,Strongly disapprove,Some college,,White,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,12,,Yes,45,,Too Low,FALSE,Dumb and happy
500000,Male,42,35-44,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,15,,No,2,,Too Low,FALSE,Smart and Sad
86000,Male,60,55-64,Democrat,Strongly disapprove,DK/REF,,DK/REF,,Married,,,DK/REF,Real and Caused by People,0,,DK/REF,DK/REF,10,,No,,Yes,Too High,DK/REF,Dumb and happy
77000,Other,55,55-64,Independent,Strongly Approve,Graduate degree,,Black,,Married,,,Unlikely,Real but not Caused by People,5,,Strongly Agree,Strongly Agree,25,,Yes,,Yes,DK/REF,TRUE,Dumb and happy
500000,Female,70,65+,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,No,12,,About Right,FALSE,Smart and Sad
47000,Male,47,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,2,,No,30,,Too Low,TRUE,Dumb and happy
88000,Female,62,55-64,DK/REF,Neither approve nor disapprove,High school,,Black,,Separated,,,Unlikely,Real and Caused by People,3,,DK/REF,Somewhat Agree,,Yes,No,,Yes,About Right,FALSE,DK/REF
56000,Female,53,45-54,Independent,Somewhat disapprove,Other,Associate degree,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,30,,Yes,20,,About Right,TRUE,Dumb and happy
68000,Male,72,65+,Republican,Strongly disapprove,Graduate degree,,White,,Single,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,No,1,,Too Low,TRUE,Dumb and happy
153000,Female,60,55-64,Republican,Neither approve nor disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Disagree,5,,Yes,20,,DK/REF,FALSE,DK/REF
64000,Female,51,45-54,Republican,Strongly Approve,Some college,,Other,Native American,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,100,,No,60,,About Right,TRUE,Smart and Sad
138000,Male,51,45-54,Republican,Strongly Approve,High school,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Somewhat Disagree,Strongly Agree,6,,No,,Yes,About Right,TRUE,Smart and Sad
79000,Female,50,45-54,DK/REF,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,20,,Yes,5,,Too Low,FALSE,Smart and Sad
64000,Male,60,55-64,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,3,,No,2,,About Right,FALSE,Smart and Sad
124000,Female,50,45-54,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,50,,No,15,,Too Low,FALSE,Smart and Sad
113000,Female,58,55-64,DK/REF,Strongly disapprove,Some college,,Other,Hispanic,In a relationship,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,2,,No,,Yes,DK/REF,TRUE,Smart and Sad
155000,Male,55,55-64,Independent,Somewhat Approve,College degree,,White,,In a relationship,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,6,,No,10,,Too Low,FALSE,Smart and Sad
,Male,47,45-54,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,22,,No,,Yes,Too Low,FALSE,Smart and Sad
,Male,61,55-64,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,,Yes,Too High,FALSE,Dumb and happy
,Male,51,45-54,Democrat,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Disagree,0,,No,5,,Too Low,TRUE,Dumb and happy
,Male,56,55-64,Independent,Strongly disapprove,College degree,,Black,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Disagree,50,,Yes,20,,About Right,FALSE,Smart and Sad
,Female,69,65+,Independent,Strongly Approve,High school,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Agree,40,,No,40,,About Right,TRUE,Dumb and happy
,Female,50,45-54,Independent,Strongly disapprove,College degree,,White,,Separated,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,12,,No,3,,Too Low,TRUE,Smart and Sad
,Male,52,45-54,Republican,Strongly Approve,Graduate degree,,Asian,,Married,,,Likely,Not Real At All,,Yes,Strongly Agree,Somewhat Agree,4,,DK/REF,,Yes,Too High,TRUE,Dumb and happy
